"dataset","year","stratum","beta_age","se","p_value","n"
"MEPS",2004,"Other",-0.0254795592188388,0.00398061507548311,6.27887299746171e-10,289
"MEPS",2005,"NH-White",-0.0134397478756322,0.00263109656565801,3.30803719843519e-07,11347
"MEPS",2005,"NH-Black",-0.0209751577203858,0.00123683823649606,9.82364897814311e-62,3074
"MEPS",2005,"NH-AIAN",-0.0225784126368089,0.00577540940990653,0.000154298660894399,121
"MEPS",2005,"NH-Asian/PI",-0.016323345770213,0.00253146133906254,1.8727589599263e-10,874
"MEPS",2005,"Hispanic",-0.0226210299941576,0.00123366255955615,1.16422408404523e-72,4841
"MEPS",2005,"Other",-0.023090889569234,0.00403517222044678,2.81494757527336e-08,269
"MEPS",2006,"NH-White",-0.0162727942528849,0.000544511434306741,6.93550479101355e-189,11214
"MEPS",2006,"NH-Black",-0.0203706256619731,0.00116174501013092,6.60574199536019e-66,3328
"MEPS",2006,"NH-AIAN",-0.0143345033871618,0.00614332579902644,0.0212666385844389,124
"MEPS",2006,"NH-Asian/PI",-0.0167786646312524,0.00207679679565459,2.18531121360561e-15,867
"MEPS",2006,"Hispanic",-0.0227336740291943,0.00124460922826231,3.92767099098734e-72,4840
"MEPS",2006,"Other",-0.014893952224324,0.00424976426536859,0.000538555754751543,261
"MEPS",2007,"NH-White",-0.0167003654924607,0.000565225727260854,2.97107236768442e-184,10324
"MEPS",2007,"NH-Black",-0.0174413715952326,0.00117701931234849,5.51330148398097e-48,2976
"MEPS",2007,"NH-AIAN",-0.0176563016223394,0.00651712928497619,0.00820902979694714,84
"MEPS",2007,"NH-Asian/PI",-0.0211692778050412,0.00177735547956093,1.18380293114347e-30,987
"MEPS",2007,"Hispanic",-0.0224782770639393,0.00126336581544942,2.28132404341182e-68,4262
"MEPS",2007,"Other",-0.017055279110825,0.00429185896418317,9.38914226603654e-05,239
"MEPS",2008,"NH-White",-0.0162519593732049,0.000574573424888327,2.96828134437802e-169,9790
"MEPS",2008,"NH-Black",-0.0198930058752721,0.00103320718984422,8.15035895352892e-79,3713
"MEPS",2008,"NH-AIAN",-0.00854099972025843,0.00898363786517625,0.344316981072674,91
"MEPS",2008,"NH-Asian/PI",-0.0214153888643551,0.00168010765550246,3.21850113411596e-35,1350
"MEPS",2008,"Hispanic",-0.0195609863121494,0.00116339851684914,8.85185864803461e-62,5080
"MEPS",2008,"Other",-0.00985118899806595,0.0039630065211246,0.0134764485447126,299
"MEPS",2009,"NH-White",-0.0140281302552698,0.00057543397398042,9.69572432485957e-128,10527
"MEPS",2009,"NH-Black",-0.0195203108532242,0.000962521071247484,1.80563700806775e-87,4374
"MEPS",2009,"NH-AIAN",-0.0146327775071953,0.00601554702477862,0.0166382810884464,110
"MEPS",2009,"NH-Asian/PI",-0.0119390850072577,0.0047358489902005,0.0117971391025953,1627
"MEPS",2009,"Hispanic",-0.0202873124406039,0.000984260034653478,3.07441145060616e-91,5962
"MEPS",2009,"Other",-0.0122514698738435,0.00347258947913041,0.000483957779344634,303
"MEPS",2010,"NH-White",-0.0148898764919585,0.000583372273219986,3.55043699262187e-139,9797
"MEPS",2010,"NH-Black",-0.0193034800957728,0.00100855150072996,4.46722661102889e-78,3853
"MEPS",2010,"NH-AIAN",-0.0176373849795458,0.00639113060834227,0.00689430619422294,101
"MEPS",2010,"NH-Asian/PI",-0.0193508175970633,0.00175945304118599,3.5988659560341e-27,1595
"MEPS",2010,"Hispanic",-0.0201130898011536,0.00108549651723078,3.57672285063483e-74,4982
"MEPS",2010,"Other",-0.0148403894843442,0.00423195048766186,0.000539403996136211,247
